"","title","firstname","middlename","lastname","name_suffix","nickname","party","state","district","in_office","gender","phone","fax","website","webform","congress_office","bioguide_id","votesmart_id","fec_id","govtrack_id","crp_id","twitter_id","congresspedia_url","youtube_url","facebook_id","official_rss","senate_class","birthdate","oc_email"
"72","Rep","Rob","","Bishop","","","R","UT","1",1,"M","202-225-0453","202-225-5857","https://robbishop.house.gov","","123 Cannon House Office Building","B001250",50544,"H2UT01094",400029,"N00025292","RepRobBishop","http://www.opencongress.org/wiki/Rob_Bishop","http://youtube.com/CongressmanBishop","RepRobBishop",NA,"","1951-07-13","Rep.Robbishop@opencongress.org"
"79","Rep","Gus","M.","Bilirakis","","","R","FL","12",1,"M","202-225-5755","202-225-4085","https://bilirakis.house.gov","","2112 Rayburn House Office Building","B001257",17318,"H6FL09070",412250,"N00027462","RepGusBilirakis","http://www.opencongress.org/wiki/Gus_Michael_Bilirakis","http://youtube.com/RepGusBilirakis","GusBilirakis",NA,"","1963-02-08","Rep.Bilirakis@opencongress.org"
"82","Rep","Vern","","Buchanan","","","R","FL","16",1,"M","202-225-5015","202-226-0828","https://buchanan.house.gov","","2104 Rayburn House Office Building","B001260",66247,"H6FL13148",412196,"N00027626","VernBuchanan","http://www.opencongress.org/wiki/Vern_Buchanan","http://youtube.com/vernbuchanan","CongressmanBuchanan",NA,"","1951-05-08","Rep.Buchanan@opencongress.org"
"83","Sen","John","A.","Barrasso","","","R","WY","Junior Seat",1,"M","202-224-6441","202-224-1724","https://www.barrasso.senate.gov","https://www.barrasso.senate.gov/public/index.cfm/contact-form","307 Dirksen Senate Office Building","B001261",52662,"S6WY00068",412251,"N00006236","SenJohnBarrasso","http://www.opencongress.org/wiki/John_Barrasso","http://youtube.com/barrassowyo","johnbarrasso",NA,"I","1952-07-21","Sen.Barrasso@opencongress.org"
"91","Rep","Lou","","Barletta","","","R","PA","11",1,"M","202-225-6511","202-225-0764","https://barletta.house.gov","","2049 Rayburn House Office Building","B001269",47143,"H2PA11098",412469,"N00025495","RepLouBarletta","http://www.opencongress.org/wiki/Lou_Barletta","http://youtube.com/reploubarletta","CongressmanLouBarletta",NA,"","1956-01-28","Rep.Barletta@opencongress.org"
"95","Rep","Diane","","Black","","","R","TN","6",1,"F","202-225-4231","202-225-6887","https://black.house.gov","","1131 Longworth House Office Building","B001273",25292,"H0TN06257",412478,"N00031539","RepDianeBlack","http://www.opencongress.org/wiki/Diane_Black","http://youtube.com/RepDianeBlack","DianeBlackTN06",NA,"","1951-01-16","Rep.Black@opencongress.org"
"96","Rep","Mo","","Brooks","","","R","AL","5",1,"M","202-225-4801","202-225-4392","https://brooks.house.gov","","2400 Rayburn House Office Building","B001274",121610,"H0AL05163",412395,"N00030910","RepMoBrooks","http://www.opencongress.org/wiki/Mo_Brooks","http://youtube.com/RepMoBrooks","RepMoBrooks",NA,"","1954-04-29","Rep.Brooks@opencongress.org"
"97","Rep","Larry","","Bucshon","","","R","IN","8",1,"M","202-225-4636","202-225-3284","https://bucshon.house.gov","","1005 Longworth House Office Building","B001275",120335,"H0IN08114",412427,"N00031227","RepLarryBucshon","http://www.opencongress.org/wiki/Larry_Bucshon","http://youtube.com/RepLarryBucshon","RepLarryBucshon",NA,"","1962-05-31","Rep.Bucshon@opencongress.org"
"103","Rep","Garland","","Barr","","Andy","R","KY","6",1,"M","202-225-4706","","https://barr.house.gov","","1427 Longworth House Office Building","B001282",117290,"H0KY06104",412541,"N00031233","RepAndyBarr","","http://youtube.com/RepAndyBarr","RepAndyBarr",NA,"","1973-07-24","Rep.Barr@opencongress.org"
"104","Rep","Jim","","Bridenstine","","","R","OK","1",1,"M","202-225-2211","918-935-2716","https://bridenstine.house.gov","","216 Cannon House Office Building","B001283",135894,"H2OK01143",412567,"N00033532","RepJBridenstine","","http://youtube.com/RepJimBridenstine","CongressmanJimBridenstine",NA,"","1975-06-15","Rep.Bridenstine@opencongress.org"
"105","Rep","Susan","W.","Brooks","","","R","IN","5",1,"F","202-225-2276","202-225-0016","https://susanwbrooks.house.gov","","1030 Longworth House Office Building","B001284",135988,"H2IN05082",412539,"N00033495","SusanWBrooks","","http://youtube.com/SusanWBrooks","congresswomansusanwbrooks",NA,"","1960-08-25","Rep.Susanwbrooks@opencongress.org"
"122","Rep","Jack","","Bergman","","","R","MI","1",1,"M","202-225-4735","","https://bergman.house.gov","","414 Cannon House Office Building","B001301",170172,"H6MI01226",412709,"N00039533","RepJackBergman","","http://youtube.com/RepJackBergman","RepJackBergman",NA,"","1947-02-02","Rep.Bergman@opencongress.org"
"127","Rep","Ken","S.","Calvert","","","R","CA","42",1,"M","202-225-1986","202-225-2004","https://calvert.house.gov","","2205 Rayburn House Office Building","C000059",26777,"H2CA37023",400057,"N00007099","KenCalvert","http://www.opencongress.org/wiki/Ken_Calvert","http://youtube.com/RepKenCalvert","70063393423",NA,"","1953-06-08","Rep.Calvert@opencongress.org"
"135","Rep","Steve","J.","Chabot","","","R","OH","1",1,"M","202-225-2216","202-225-3012","https://chabot.house.gov","","2371 Rayburn House Office Building","C000266",21790,"H8OH01043",400071,"N00003689","RepSteveChabot","http://www.opencongress.org/wiki/Steven_Chabot","http://youtube.com/congressmanchabot","RepSteveChabot",NA,"","1953-01-22","Rep.Chabot@opencongress.org"
"142","Sen","Thad","","Cochran","","","R","MS","Senior Seat",1,"M","202-224-5054","202-224-9450","https://www.cochran.senate.gov","https://www.cochran.senate.gov/public/index.cfm/email-me","113 Dirksen Senate Office Building","C000567",53312,"S8MS00055",300023,"N00003328","SenThadCochran","http://www.opencongress.org/wiki/Thad_Cochran","http://youtube.com/sencochran","",NA,"II","1937-12-07","Sen.Cochran@opencongress.org"
"149","Sen","Michael","D.","Crapo","","","R","ID","Senior Seat",1,"M","202-224-6142","202-228-1375","https://www.crapo.senate.gov","https://www.crapo.senate.gov/contact","239 Dirksen Senate Office Building","C000880",26830,"S8ID00027",300030,"N00006267","MikeCrapo","http://www.opencongress.org/wiki/Michael_Crapo","http://youtube.com/senatorcrapo","mikecrapo",NA,"III","1951-05-20","Sen.Crapo@opencongress.org"
"152","Sen","Susan","M.","Collins","","","R","ME","Senior Seat",1,"F","202-224-2523","202-224-2693","https://www.collins.senate.gov","http://www.collins.senate.gov/contact","413 Dirksen Senate Office Building","C001035",379,"S6ME00159",300025,"N00000491","SenatorCollins","http://www.opencongress.org/wiki/Susan_Collins","http://youtube.com/SenatorSusanCollins","susancollins",NA,"II","1952-12-07","Sen.Collins@opencongress.org"
"160","Rep","John","Abney","Culberson","","","R","TX","7",1,"M","202-225-2571","202-225-4381","https://culberson.house.gov","","2161 Rayburn House Office Building","C001048",5488,"H0TX07055",400089,"N00009738","CongCulberson","http://www.opencongress.org/wiki/John_Culberson","http://youtube.com/johnculbersontx07","CongressmanCulberson",NA,"","1956-08-24","Rep.Culberson@opencongress.org"
"163","Rep","John","R.","Carter","","","R","TX","31",1,"M","202-225-3864","202-225-5886","https://carter.house.gov","","2110 Rayburn House Office Building","C001051",49296,"H2TX31044",400068,"N00025095","JudgeCarter","http://www.opencongress.org/wiki/John_Carter","http://youtube.com/repjohncarter","judgecarter",NA,"","1941-11-06","Rep.Carter@opencongress.org"
"164","Rep","Tom","","Cole","","","R","OK","4",1,"M","202-225-6165","202-225-3512","https://cole.house.gov","","2467 Rayburn House Office Building","C001053",46034,"H2OK04055",400077,"N00025726","TomColeOK04","http://www.opencongress.org/wiki/Tom_Cole","http://youtube.com/reptomcole","TomColeOK04",NA,"","1949-04-28","Rep.Cole@opencongress.org"
"165","Sen","John","","Cornyn","","","R","TX","Senior Seat",1,"M","202-224-2934","202-228-2856","https://www.cornyn.senate.gov","https://www.cornyn.senate.gov/contact","517 Hart Senate Office Building","C001056",15375,"S2TX00106",300027,"N00024852","JohnCornyn","http://www.opencongress.org/wiki/John_Cornyn","http://youtube.com/senjohncornyn","sen.johncornyn",NA,"II","1952-02-02","Sen.Cornyn@opencongress.org"
"171","Rep","K.","Michael","Conaway","","","R","TX","11",1,"M","202-225-3605","202-225-1783","https://conaway.house.gov","","2430 Rayburn House Office Building","C001062",49935,"H4TX19136",400655,"N00026041","ConawayTX11","http://www.opencongress.org/wiki/K._Michael_Conaway","http://youtube.com/mikeconaway11","mike.conaway",NA,"","1948-06-11","Rep.Conaway@opencongress.org"
"180","Sen","Bob","","Corker","","","R","TN","Junior Seat",1,"M","202-224-3344","202-228-0566","https://www.corker.senate.gov","https://www.corker.senate.gov/public/index.cfm/emailme","425 Dirksen Senate Office Building","C001071",65905,"S6TN00216",412248,"N00027441","SenBobCorker","http://www.opencongress.org/wiki/Bob_Corker","http://youtube.com/senatorcorker","bobcorker",NA,"I","1952-08-24","Sen.Corker@opencongress.org"
"185","Rep","Jason","","Chaffetz","","","R","UT","3",0,"M","202-225-7751","202-225-5629","https://chaffetz.house.gov","","2236 Rayburn House Office Building","C001076",103482,"H8UT03089",412270,"N00028958","JasonInTheHouse","http://www.opencongress.org/wiki/Jason_Chaffetz","http://youtube.com/JasonChaffetz","CongressmanJasonChaffetz",NA,"","1967-03-26",""
"186","Rep","Mike","","Coffman","","","R","CO","6",1,"M","202-225-7882","202-226-4623","https://coffman.house.gov","","2443 Rayburn House Office Building","C001077",1535,"H8CO06138",412271,"N00024753","RepMikeCoffman","http://www.opencongress.org/wiki/Mike_Coffman","http://youtube.com/CongressmanCoffman","repmikecoffman",NA,"","1955-03-19","Rep.Coffman@opencongress.org"
"196","Rep","Eric","A.","Crawford","","Rick","R","AR","1",1,"M","202-225-4076","202-225-5602","https://crawford.house.gov","","2422 Rayburn House Office Building","C001087",119208,"H0AR01083",412400,"N00030770","RepRickCrawford","http://www.opencongress.org/wiki/Rick_Crawford","http://youtube.com/RepRickCrawford","RepRickCrawford",NA,"","1966-01-22","Rep.Crawford@opencongress.org"
"200","Rep","Chris","","Collins","","","R","NY","27",1,"M","202-225-5265","202-225-5910","https://chriscollins.house.gov","","1117 Longworth House Office Building","C001092",139770,"H8NY29032",412563,"N00001285","RepChrisCollins","","http://youtube.com/RepChrisCollins","RepChrisCollins",NA,"","1950-05-20","Rep.Chriscollins@opencongress.org"
"201","Rep","Doug","","Collins","","","R","GA","9",1,"M","202-225-9893","202-226-1224","https://dougcollins.house.gov","","1504 Longworth House Office Building","C001093",67851,"H2GA09150",412531,"N00033518","RepDougCollins","","http://youtube.com/repdougcollins","RepresentativeDougCollins",NA,"","1966-08-16","Rep.Dougcollins@opencongress.org"
"202","Rep","Paul","","Cook","","","R","CA","8",1,"M","202-225-5861","202-225-6498","https://cook.house.gov","","1222 Longworth House Office Building","C001094",58121,"H2CA08164",412513,"N00034224","RepPaulCook","","http://youtube.com/RepPaulCook","RepPaulCook",NA,"","1943-03-03","Rep.Cook@opencongress.org"
"203","Sen","Tom","","Cotton","","","R","AR","Junior Seat",1,"M","202-224-2353","","https://www.cotton.senate.gov","http://www.cotton.senate.gov/?p=contact","124 Russell Senate Office Building","C001095",135651,"H2AR04083",412508,"N00033363","SenTomCotton","","http://youtube.com/RepTomCotton","SenatorTomCotton",NA,"II","1977-05-13","Sen.Cotton@opencongress.org"
"204","Rep","Kevin","","Cramer","","","R","ND","0",1,"M","202-225-2611","202-226-0893","https://cramer.house.gov","","1717 Longworth House Office Building","C001096",444,"H0ND01026",412555,"N00004614","RepKevinCramer","","http://youtube.com/kevincramer","CongressmanKevinCramer",NA,"","1961-01-21","Rep.Cramer@opencongress.org"
"206","Sen","Ted","","Cruz","","","R","TX","Junior Seat",1,"M","202-224-5922","202-228-3398","https://www.cruz.senate.gov","https://www.cruz.senate.gov/?p=form&id=16","404 Russell Senate Office Building","C001098",135705,"S2TX00312",412573,"N00033085","SenTedCruz","","http://youtube.com/sentedcruz","SenatorTedCruz",NA,"I","1970-12-22","Sen.Cruz@opencongress.org"
"235","Rep","John","J.","Duncan","Jr.","Jimmy","R","TN","2",1,"M","202-225-5435","202-225-6440","https://duncan.house.gov","","2207 Rayburn House Office Building","D000533",27069,"H8TN02069",400116,"N00003209","RepJohnDuncanJr","http://www.opencongress.org/wiki/John_Duncan","http://youtube.com/RepJohnDuncan","CongressmanDuncan",NA,"","1947-07-21","Rep.Duncan@opencongress.org"
"241","Rep","Mario","","Diaz-Balart","","","R","FL","25",1,"M","202-225-4211","202-225-8576","https://mariodiazbalart.house.gov","","440 Cannon House Office Building","D000600",24312,"H2FL25018",400108,"N00025337","MarioDB","http://www.opencongress.org/wiki/Mario_Diaz-Balart","http://youtube.com/MarioDiazBalart","mdiazbalart",NA,"","1961-09-25","Rep.Mariodiazbalart@opencongress.org"
"245","Rep","Charles","W.","Dent","","","R","PA","15",1,"M","202-225-6411","202-226-0778","https://dent.house.gov","","2082 Rayburn House Office Building","D000604",9121,"H4PA15087",400648,"N00026171","RepCharlieDent","http://www.opencongress.org/wiki/Charles_Dent","http://youtube.com/CongressmanDent","CongressmanDent",NA,"","1960-05-24","Rep.Dent@opencongress.org"
"253","Rep","Jeff","","Denham","","","R","CA","10",1,"M","202-225-4540","202-225-3402","https://denham.house.gov","","1730 Longworth House Office Building","D000612",28769,"H0CA19173",412403,"N00031593","RepJeffDenham","http://www.opencongress.org/wiki/Jeff_Denham","http://youtube.com/repjeffdenham","RepJeffDenham",NA,"","1967-07-29","Rep.Denham@opencongress.org"
"255","Rep","Sean","P.","Duffy","","","R","WI","7",1,"M","202-225-3365","202-225-3240","https://duffy.house.gov","","2330 Rayburn House Office Building","D000614",126238,"H0WI07051",412488,"N00030967","RepSeanDuffy","http://www.opencongress.org/wiki/Sean_Duffy","http://youtube.com/RepSeanDuffy","RepSeanDuffy",NA,"","1971-10-03","Rep.Duffy@opencongress.org"
"256","Rep","Jeff","","Duncan","","","R","SC","3",1,"M","202-225-5301","202-225-3216","https://jeffduncan.house.gov","","2229 Rayburn House Office Building","D000615",47967,"H0SC03077",412472,"N00030752","RepJeffDuncan","http://www.opencongress.org/wiki/Jeff_Duncan","http://youtube.com/congjeffduncan","RepJeffDuncan",NA,"","1966-01-07","Rep.Jeffduncan@opencongress.org"
"257","Rep","Scott","","DesJarlais","","","R","TN","4",1,"M","202-225-6831","202-226-5172","https://desjarlais.house.gov","","2301 Rayburn House Office Building","D000616",123473,"H0TN04195",412477,"N00030957","DesJarlaisTN04","http://www.opencongress.org/wiki/Scott_Desjarlais","http://youtube.com/ScottDesJarlaisTN04","ScottDesJarlaisTN04",NA,"","1964-02-21","Rep.Desjarlais@opencongress.org"
"259","Sen","Steve","","Daines","","","R","MT","Junior Seat",1,"M","202-224-2651","202-228-1236","https://www.daines.senate.gov","https://www.daines.senate.gov/connect/email-steve","320 Hart Senate Office Building","D000618",135720,"H2MT01060",412549,"N00033054","SteveDaines","","http://youtube.com/SteveDainesMT","SteveDainesMT",NA,"II","1962-08-20","Sen.Daines@opencongress.org"
"260","Rep","Rodney","","Davis","","","R","IL","13",1,"M","202-225-2371","217-791-6168","https://rodneydavis.house.gov","","1740 Longworth House Office Building","D000619",9622,"H2IL13120",412536,"N00034784","RodneyDavis","","http://youtube.com/RepRodneyDavis","RepRodneyDavis",NA,"","1970-01-05","Rep.Rodneydavis@opencongress.org"
"262","Rep","Ron","","DeSantis","","","R","FL","6",1,"M","202-225-2706","202-226-6299","https://desantis.house.gov","","1524 Longworth House Office Building","D000621",137630,"H2FL00292",412526,"N00034746","RepDeSantis","","http://youtube.com/RepRonDeSantis","RepDeSantis",NA,"","1978-09-14","Rep.Desantis@opencongress.org"
"279","Sen","Michael","B.","Enzi","","","R","WY","Senior Seat",1,"M","202-224-3424","202-228-0359","https://www.enzi.senate.gov","http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi","379a Russell Senate Office Building","E000285",558,"S6WY00126",300041,"N00006249","SenatorEnzi","http://www.opencongress.org/wiki/Michael_Enzi","http://youtube.com/senatorenzi","mikeenzi",NA,"II","1944-02-01","Sen.Enzi@opencongress.org"
"286","Rep","Tom","","Emmer","","","R","MN","6",1,"M","202-225-2331","202-225-6475","https://emmer.house.gov","","315 Cannon House Office Building","E000294",38894,"H4MN06087",412639,"N00035440","RepTomEmmer","","http://youtube.com/RepTomEmmer","reptomemmer",NA,"","1961-03-03","Rep.Emmer@opencongress.org"
"298","Rep","Rodney","P.","Frelinghuysen","","","R","NJ","11",1,"M","202-225-5034","202-225-3186","https://frelinghuysen.house.gov","","2306 Rayburn House Office Building","F000372",22177,"H2NJ05014",400142,"N00000684","USRepRodney","http://www.opencongress.org/wiki/Rodney_Frelinghuysen","http://youtube.com/RepFrelinghuysen","rfrelinghuysen",NA,"","1946-04-29","Rep.Frelinghuysen@opencongress.org"
"301","Sen","Jeff","","Flake","","","R","AZ","Junior Seat",1,"M","202-224-4521","202-226-4386","https://www.flake.senate.gov/public","https://www.flake.senate.gov/public/index.cfm/contact-jeff","413 Russell Senate Office Building","F000444",28128,"H0AZ01184",400134,"N00009573","JeffFlake","http://www.opencongress.org/wiki/Jeff_Flake","http://youtube.com/flakeoffice","senatorjeffflake",NA,"I","1962-12-31","Sen.Flake@opencongress.org"
"304","Rep","Trent","","Franks","","","R","AZ","8",1,"M","202-225-4576","202-225-6328","https://franks.house.gov","","2435 Rayburn House Office Building","F000448",28399,"H4AZ04024",400141,"N00006423","RepTrentFranks","http://www.opencongress.org/wiki/Trent_Franks","http://youtube.com/RepTrentFranks","TrentFranks",NA,"","1957-06-19","Rep.Franks@opencongress.org"
"305","Rep","Jeff","Lane","Fortenberry","","","R","NE","1",1,"M","202-225-4806","202-225-5686","https://fortenberry.house.gov","","1514 Longworth House Office Building","F000449",41929,"H4NE01064",400640,"N00026631","JeffFortenberry","http://www.opencongress.org/wiki/Jeff_Fortenberry","http://youtube.com/JeffFortenberry","jefffortenberry",NA,"","1960-12-27","Rep.Fortenberry@opencongress.org"
"306","Rep","Virginia","","Foxx","","","R","NC","5",1,"F","202-225-2071","202-225-2995","https://foxx.house.gov","","2262 Rayburn House Office Building","F000450",6051,"H4NC05146",400643,"N00026166","VirginiaFoxx","http://www.opencongress.org/wiki/Virginia_Foxx","http://youtube.com/repvirginiafoxx","RepVirginiaFoxx",NA,"","1943-06-29","Rep.Foxx@opencongress.org"
"315","Rep","Charles","J.","Fleischmann","","Chuck","R","TN","3",1,"M","202-225-3271","202-225-3494","https://fleischmann.house.gov","","2410 Rayburn House Office Building","F000459",123456,"H0TN03254",412476,"N00030815","RepChuck","http://www.opencongress.org/wiki/Chuck_Fleischmann","http://youtube.com/repchuck","repchuck",NA,"","1962-10-11","Rep.Fleischmann@opencongress.org"
"316","Rep","Blake","","Farenthold","","","R","TX","27",1,"M","202-225-7742","202-226-1134","https://farenthold.house.gov","","2331 Rayburn House Office Building","F000460",116919,"H0TX27061",412482,"N00031672","Farenthold","http://www.opencongress.org/wiki/Blake_Farenthold","http://youtube.com/BlakeFarenthold","BlakeFarenthold",NA,"","1961-12-12","Rep.Farenthold@opencongress.org"
"317","Rep","Bill","","Flores","","","R","TX","17",1,"M","202-225-6105","202-225-0350","https://flores.house.gov","","2440 Rayburn House Office Building","F000461",116906,"H0TX17104",412480,"N00031545","RepBillFlores","http://www.opencongress.org/wiki/Bill_Flores","http://youtube.com/RepBillFlores","RepBillFlores",NA,"","1954-02-25","Rep.Flores@opencongress.org"
"319","Sen","Deb","","Fischer","","","R","NE","Senior Seat",1,"F","202-224-6551","202-228-1325","https://www.fischer.senate.gov","http://www.fischer.senate.gov/public/index.cfm/contact","454 Russell Senate Office Building","F000463",41963,"S2NE00094",412556,"N00033443","SenatorFischer","","http://youtube.com/senatordebfischer","senatordebfischer",NA,"I","1951-03-01","Sen.Fischer@opencongress.org"
"327","Rep","Bob","W.","Goodlatte","","","R","VA","6",1,"M","202-225-5431","202-225-9681","https://goodlatte.house.gov","","2309 Rayburn House Office Building","G000289",27116,"H2VA06115",400154,"N00009154","RepGoodlatte","http://www.opencongress.org/wiki/Robert_Goodlatte","http://youtube.com/RepBobGoodlatte","BobGoodlatte",NA,"","1952-09-22","Rep.Goodlatte@opencongress.org"
"329","Sen","Lindsey","O.","Graham","","","R","SC","Senior Seat",1,"M","202-224-5972","202-224-3808","https://www.lgraham.senate.gov/public","https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham","290 Russell Senate Office Building","G000359",21992,"S0SC00149",300047,"N00009975","GrahamBlog","http://www.opencongress.org/wiki/Lindsey_Graham","http://youtube.com/USSenLindseyGraham","USSenatorLindseyGraham",NA,"II","1955-07-09","Sen.Lgraham@opencongress.org"
"330","Rep","Kay","","Granger","","","R","TX","12",1,"F","202-225-5071","202-225-5683","https://kaygranger.house.gov","","1026 Longworth House Office Building","G000377",334,"H6TX12060",400157,"N00008799","RepKayGranger","http://www.opencongress.org/wiki/Kay_Granger","http://youtube.com/RepKayGranger","RepKayGranger",NA,"","1943-01-18","Rep.Kaygranger@opencongress.org"
"331","Sen","Charles","E.","Grassley","","Chuck","R","IA","Senior Seat",1,"M","202-224-3744","202-224-6020","https://www.grassley.senate.gov","http://www.grassley.senate.gov/contact","135 Hart Senate Office Building","G000386",53293,"S0IA00028",300048,"N00001758","ChuckGrassley","http://www.opencongress.org/wiki/Charles_Grassley","http://youtube.com/senchuckgrassley","grassley",NA,"III","1933-09-17","Sen.Grassley@opencongress.org"
"341","Rep","Louie","B.","Gohmert","Jr.","","R","TX","1",1,"M","202-225-3035","202-226-1230","https://gohmert.house.gov","","2243 Rayburn House Office Building","G000552",50029,"H4TX04039",400651,"N00026148","RepLouieGohmert","http://www.opencongress.org/wiki/Louis_Gohmert","http://youtube.com/GohmertTX01","50375006903",NA,"","1953-08-18","Rep.Gohmert@opencongress.org"
"347","Rep","Brett","","Guthrie","","","R","KY","2",1,"M","202-225-3501","202-226-2019","https://guthrie.house.gov","","2434 Rayburn House Office Building","G000558",18829,"H8KY02031",412278,"N00029675","RepGuthrie","http://www.opencongress.org/wiki/Steven_Guthrie","http://youtube.com/BrettGuthrie","CongressmanGuthrie",NA,"","1964-02-18","Rep.Guthrie@opencongress.org"
"349","Rep","Tom","","Graves","","","R","GA","14",1,"M","202-225-5211","202-225-8272","https://tomgraves.house.gov","","2078 Rayburn House Office Building","G000560",31969,"H0GA09030",412388,"N00030788","RepTomGraves","http://www.opencongress.org/wiki/Tom_Graves","http://youtube.com/CongressmanGraves","reptomgraves",NA,"","1970-02-03","Rep.Tomgraves@opencongress.org"
"352","Rep","Bob","","Gibbs","","","R","OH","7",1,"M","202-225-6265","202-225-3394","https://gibbs.house.gov","","2446 Rayburn House Office Building","G000563",45466,"H0OH18077",412463,"N00031128","RepBobGibbs","http://www.opencongress.org/wiki/Bob_Gibbs","http://youtube.com/RepBobGibbs","RepBobGibbs",NA,"","1954-06-14","Rep.Gibbs@opencongress.org"
"354","Rep","Paul","A.","Gosar","","","R","AZ","4",1,"M","202-225-2315","202-226-9739","https://gosar.house.gov","","2057 Rayburn House Office Building","G000565",123491,"H0AZ01259",412397,"N00030771","RepGosar","http://www.opencongress.org/wiki/Paul_Gosar","http://youtube.com/repgosar","repgosar",NA,"","1958-11-22","Rep.Gosar@opencongress.org"
"355","Rep","Trey","","Gowdy","","","R","SC","4",1,"M","202-225-6030","202-226-1177","https://gowdy.house.gov","","2418 Rayburn House Office Building","G000566",121782,"H0SC04257",412473,"N00030880","TGowdySC","http://www.opencongress.org/wiki/Trey_Gowdy","http://youtube.com/TGowdySC","RepTreyGowdy",NA,"","1964-08-22","Rep.Gowdy@opencongress.org"
